country,orgname,repname,watchers_count,forks,open_issues,size,52weeksactivity
Canada,AAFC-MBB,docker-assembly,0,1,2,95,0
Canada,AAFC-MBB,dockerfiles,1,1,0,287,0
Canada,AAFC-MBB,Galaxy,2,2,4,32011,0
Canada,AAFC-MBB,galaxy-PwParam,0,0,0,63,0
Canada,AAFC-MBB,gbif-ipt-vagrant,0,1,2,250,0
Canada,AAFC-MBB,gflow,0,0,0,2539,0
Canada,AAFC-MBB,HostPathogenLuceneIndexer,0,0,1,288,0
Canada,abgov,ab-compensation-transparency-toolkit,3,2,6,1046,0
Canada,abgov,ckanext-ab_scheming,1,3,0,554,0
Canada,abgov,ckanext-geomapviewer,0,0,0,18,0
Canada,abgov,ckanext-open_alberta,1,3,5,3504,0
Canada,bcdevexchange,API-Management,2,6,4,11495,152
Canada,bcdevexchange,bc-property-api-specification,3,0,4,1474,18
Canada,bcdevexchange,bca-api,0,1,0,31,9
Canada,bcdevexchange,BCDevExchange-app,22,12,35,10626,238
Canada,bcdevexchange,BCDevExchange-mini-apps,0,0,0,6627,54
Canada,bcdevexchange,BCDevExchange-Programs,1,2,0,22764,91
Canada,bcdevexchange,BCDevExchange-Projects,0,1,0,169,0
Canada,bcdevexchange,BCDevExchange-Resources,0,0,0,196,0
Canada,bcdevexchange,BCDevExchange-Site,0,0,3,7083,79
Canada,bcdevexchange,blog,0,0,0,28,27
Canada,bcdevexchange,cemetery-information,0,0,1,180,0
Canada,bcdevexchange,ckanext-wso2-harvester,1,0,0,197,0
Canada,bcdevexchange,garbage-day,7,6,7,2684,26
Canada,bcdevexchange,Guides-Templates-Etc,2,5,0,191,0
Canada,bcdevexchange,open-opps-dev,0,0,0,0,0
Canada,bcdevexchange,Our-Project-Docs,15,8,11,12688,2
Canada,bcdevexchange,pay-for-pull-epic-research,1,0,0,5,5
Canada,bcdevexchange,RA-Documents,1,1,2,166,0
Canada,bcdevexchange,rapid-adoption,5,2,3,9,10
Canada,bcdevexchange,WORKPLAN,0,0,0,6550,11
Canada,bcdevexchange,zurmo,0,0,0,137,21
Canada,BCGov,agile-guide,0,3,0,1541,0
Canada,BCGov,api-specs,2,3,68,178,0
Canada,BCGov,aspb-planning,0,0,26,3,0
Canada,BCGov,bc-laws-api,3,5,0,6598,0
Canada,BCGov,BC-Policy-Framework-For-GitHub,42,15,1,1025,22
Canada,BCGov,bc-population-indicator,3,0,0,113,0
Canada,BCGov,bcdc-devops,1,1,1,23,9
Canada,BCGov,bcgroundwater,11,3,2,403,12
Canada,BCGov,bcmaps,19,2,2,202367,0
Canada,BCGov,BCStats,1,0,0,4,0
Canada,BCGov,bearmon,0,1,0,3840,0
Canada,BCGov,cccharts,1,0,5,346,36
Canada,BCGov,citizen-engagement-web-toolkit,12,5,2,216,0
Canada,BCGov,citizens-at-the-centre,0,2,0,265,0
Canada,BCGov,ckanext-bcgov,6,10,29,23613,278
Canada,BCGov,climate-change-indicators-2015,1,0,0,22,18
Canada,BCGov,cpf,0,1,33,51832,0
Canada,BCGov,CSB-eFile,0,0,0,952,0
Canada,BCGov,data-driven-decision-making,0,0,0,27,0
Canada,BCGov,data-driven-decision-making-guide,1,1,0,67,0
Canada,BCGov,data-fp,3,4,5,7473,0
Canada,BCGov,data-fp-features,0,0,0,48,0
Canada,ca-canada,api,2,0,0,0,0
Canada,ca-canada,data.CODE,2,0,0,144,0
Canada,ca-canada,data.devcorner,3,1,1,148,0
Canada,cityofgreatersudbury,cityofgreatersudbury.github.com,2,0,0,48,0
Canada,cityofgreatersudbury,its4mobility,1,0,0,188,0
Canada,cityofottawa,Apps4Ottawa-Website,1,1,0,339,0
Canada,cityofottawa,council_and_elections,0,0,0,176,0
Canada,cityofottawa,document_accessibility_report,0,0,0,108,0
Canada,cityofottawa,feeds_translation,0,0,0,126,0
Canada,cityofottawa,immigration_zen,1,0,6,66572,0
Canada,cityofottawa,light_box_image_gallery,0,0,0,4,0
Canada,cityofottawa,Ottawa-ckan,5,1,6,11219,0
Canada,cityofottawa,ottawa_external_links,0,0,0,108,0
Canada,cityofottawa,ottawa_panelized_page_nav,0,0,1,224,0
Canada,cityofottawa,ottawa_permits,0,0,0,188,0
Canada,cityofottawa,ottawa_toggle_block,0,0,1,224,0
Canada,cityofottawa,ottawa_vjs_skin,0,0,0,160,0
Canada,cityofottawa,ottdoc_make,0,0,0,598,0
Canada,cityofottawa,ottdoc_zen,0,0,0,815,0
Canada,cityofottawa,ott_image_styles,0,0,0,4,0
Canada,cityofottawa,Popup_Survey,0,0,0,124,0
Canada,cityofottawa,shibboleth_auth,2,0,0,890,0
Canada,cityofottawa,site_wide_warning,0,0,0,95,0
Canada,cityofottawa,spotlight_leaflet,0,1,0,808,0
Canada,cityofottawa,spotlight_leaflet_map,0,0,0,196,0
Canada,cityofottawa,toc_formatter,0,0,0,140,0
Canada,cityofottawa,webform_gmap_location,0,0,0,204,0
Canada,cityofottawa,webform_sidkey,0,0,0,196,0
Canada,cityofottawa,youth_portal_dashboard,0,0,0,144,0
Canada,cityofsurrey,ckanext-surrey,1,3,0,1135,0
Canada,cityofsurrey,css,0,0,0,0,0
Canada,cityofsurrey,docker-node-oracle,0,1,1,60565,0
Canada,cityofsurrey,dockercloud,0,4,3,15,0
Canada,cityofsurrey,goblins,0,0,2,3894,0
Canada,cityofsurrey,illidan,0,0,1,21,0
Canada,cityofsurrey,javascript,1,0,5,17,0
Canada,cityofsurrey,jenkins,0,0,0,0,0
Canada,cityofsurrey,jscs-preset-cityofsurrey,0,0,0,4,0
Canada,cityofsurrey,landscape-api,0,0,0,2,0
Canada,cityofsurrey,landscape-node,0,0,7,27,0
Canada,cityofsurrey,lurtz,0,0,4,18,0
Canada,cityofsurrey,microsites-public,0,0,0,0,0
Canada,cityofsurrey,mongoclient-docker,0,0,0,1848,0
Canada,cityofsurrey,mongodb-ansible,0,0,0,36,0
Canada,cityofsurrey,mysurrey-admin,0,0,2,7890,0
Canada,cityofsurrey,mysurrey-tests,0,0,9,18225,0
Canada,cityofsurrey,open511,0,1,0,8,0
Canada,cityofsurrey,rancher-ansible,0,0,0,6,0
Canada,cityofsurrey,relic-tests,0,0,0,11,0
Canada,cityofsurrey,selenium-grid,0,0,0,2,0
Canada,cityofsurrey,solarwinds-node,1,0,11,50,0
Canada,cityofsurrey,taurus,0,0,0,0,0
Canada,cityofsurrey,traffic-loops-api,0,0,0,4,0
Canada,cngo,cngo.ca-functionality-plugin,0,0,0,3,0
Canada,cngo,cngo.ca-sage-theme,0,0,0,40,0
Canada,cngo,dockerfiles,0,0,0,3,0
Canada,cngo,nugeo-scripts,0,0,0,18,0
Canada,ECCC-MSC,MetOceanOWS,3,1,0,14,0
Canada,electionsquebec,PolygooMap,9,0,0,204,0
Canada,GeoCanViz,GeoCanAut,1,4,2,12651,0
Canada,GeoCanViz,GeoCanViz,3,9,0,30883,0
